generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
13,10,"[8, 6, 4, 0]",0.5650833333333333,0.5355555555555556,0.8125,0.0
13,11,"[8, 6, 0, 0]",0.5641499999999999,0.5339999999999999,0.8125,0.0
13,12,"[6, 5, 4, 0]",0.5633238095238094,0.5341111111111111,0.8095238095238095,0.0
13,13,"[10, 6, 0, 0]",0.5360666666666666,0.5323333333333333,0.7222222222222222,0.0
13,14,"[7, 6, 4, 0]",0.531,0.535,0.7,0.0
13,15,"[7, 4, 4, 0]",0.5289166666666667,0.5377777777777778,0.6875,0.0
14,1,"[8, 6, 4, 1]",0.6277333333333333,0.5462222222222222,1.0,0.0
14,2,"[8, 6, 4, 0]",0.614047619047619,0.5472222222222222,0.9523809523809523,0.0
14,3,"[8, 6, 4, 0]",0.6097333333333332,0.5439999999999999,0.9444444444444444,0.0
14,4,"[8, 6, 4, 1]",0.6071529411764706,0.5413333333333333,0.9411764705882353,0.0
14,5,"[8, 7, 4, 1]",0.6062862745098039,0.5398888888888889,0.9411764705882353,0.0
14,6,"[10, 6, 4, 1]",0.6035333333333333,0.5392222222222223,0.9333333333333333,0.0
14,7,"[8, 6, 4, 1]",0.5935999999999999,0.5448888888888889,0.8888888888888888,0.0
14,8,"[8, 5, 1, 0]",0.5923543859649123,0.5398888888888889,0.8947368421052632,0.0
14,9,"[10, 6, 1, 0]",0.5917333333333334,0.5362222222222223,0.9,0.0
14,10,"[8, 6, 4, 1]",0.5878392156862745,0.5385555555555556,0.8823529411764706,0.0
14,11,"[8, 7, 1, 0]",0.5811,0.5309999999999999,0.875,0.0
14,12,"[8, 5, 4, 2]",0.5624833333333333,0.5312222222222223,0.8125,0.0
14,13,"[6, 5, 5, 1]",0.5597754385964913,0.5382222222222223,0.7894736842105263,0.0
14,14,"[8, 6, 4, 1]",0.5461333333333332,0.5352222222222222,0.75,0.0
14,15,"[6, 6, 4, 0]",0.5340857142857143,0.533,0.7142857142857143,0.0
15,1,"[9, 6, 4, 1]",0.6113333333333333,0.5438888888888889,0.95,0.0
15,2,"[6, 6, 4, 0]",0.6045333333333334,0.5353333333333333,0.9444444444444444,0.0
15,3,"[8, 6, 5, 1]",0.6045333333333333,0.5408888888888889,0.9333333333333333,0.0
15,4,"[8, 6, 4, 0]",0.6036666666666666,0.5338888888888889,0.9444444444444444,0.0
15,5,"[8, 6, 4, 0]",0.5936666666666667,0.545,0.8888888888888888,0.0
15,6,"[8, 6, 4, 1]",0.5910666666666666,0.5406666666666666,0.8888888888888888,0.0
15,7,"[8, 6, 4, 0]",0.5876333333333333,0.5418888888888889,0.875,0.0
15,8,"[8, 6, 4, 1]",0.5806,0.5343333333333333,0.8666666666666667,0.0
15,9,"[8, 6, 4, 2]",0.5805333333333333,0.5425555555555555,0.85,0.0
15,10,"[8, 4, 4, 0]",0.5793428571428572,0.537,0.8571428571428571,0.0
15,11,"[8, 5, 4, 0]",0.5733333333333334,0.538888888888889,0.8333333333333334,0.0
15,12,"[8, 4, 4, 1]",0.5658833333333333,0.5368888888888889,0.8125,0.0
15,13,"[8, 6, 4, 0]",0.5597754385964913,0.5382222222222223,0.7894736842105263,0.0
15,14,"[8, 6, 4, 0]",0.5468666666666666,0.5364444444444444,0.75,0.0
15,15,"[8, 4, 2, 1]",0.5411999999999999,0.5353333333333333,0.7333333333333333,0.0
16,1,"[8, 6, 4, 1]",0.6249333333333333,0.5415555555555556,1.0,0.0
16,2,"[8, 6, 5, 1]",0.6097999999999999,0.5441111111111111,0.9444444444444444,0.0
16,3,"[8, 6, 4, 0]",0.5912,0.5408888888888889,0.8888888888888888,0.0
16,4,"[7, 6, 4, 0]",0.591,0.5405555555555556,0.8888888888888888,0.0
16,5,"[9, 6, 4, 1]",0.5907725490196079,0.5434444444444445,0.8823529411764706,0.0
16,6,"[8, 6, 4, 0]",0.5839,0.5356666666666666,0.875,0.0
16,7,"[8, 7, 5, 0]",0.5767333333333333,0.5362222222222222,0.85,0.0
16,8,"[9, 7, 4, 0]",0.5671999999999999,0.5453333333333333,0.8,0.0
16,9,"[8, 6, 4, 0]",0.5594666666666667,0.5324444444444445,0.8,0.0
16,10,"[9, 5, 4, 1]",0.5576181818181818,0.543,0.7727272727272727,0.0
16,11,"[6, 6, 4, 0]",0.5557333333333333,0.5373333333333333,0.7777777777777778,0.0
16,12,"[10, 6, 5, 2]",0.5528666666666666,0.5325555555555556,0.7777777777777778,0.0
16,13,"[6, 6, 2, 0]",0.5375523809523809,0.5387777777777778,0.7142857142857143,0.0
16,14,"[6, 6, 4, 1]",0.5308980392156862,0.5318888888888889,0.7058823529411765,0.0
16,15,"[7, 6, 4, 0]",0.5202,0.5419999999999999,0.65,0.0
17,1,"[8, 6, 4, 1]",0.6160969696969697,0.5495555555555556,0.9545454545454546,0.0
17,2,"[8, 6, 4, 1]",0.6094105263157894,0.542,0.9473684210526315,0.0
17,3,"[8, 6, 5, 2]",0.6086196078431372,0.5437777777777777,0.9411764705882353,0.0
17,4,"[8, 8, 5, 2]",0.6069333333333333,0.5393333333333333,0.9444444444444444,0.0
17,5,"[8, 6, 5, 0]",0.6050196078431372,0.5377777777777778,0.9411764705882353,0.0
17,6,"[8, 6, 4, 0]",0.594695238095238,0.5387777777777778,0.9047619047619048,0.0
17,7,"[7, 6, 5, 1]",0.5862242424242423,0.5452222222222222,0.8636363636363636,0.0
17,8,"[8, 6, 5, 3]",0.5848,0.5413333333333333,0.8666666666666667,0.0
17,9,"[7, 6, 4, 0]",0.5808,0.5346666666666666,0.8666666666666667,0.0
17,10,"[8, 5, 4, 0]",0.5798000000000001,0.533,0.8666666666666667,0.0
17,11,"[8, 6, 4, 2]",0.5714545454545454,0.5433333333333333,0.8181818181818182,0.0
17,12,"[8, 6, 5, 1]",0.5590666666666666,0.5428888888888889,0.7777777777777778,0.0
17,13,"[7, 7, 2, 0]",0.5408666666666666,0.5403333333333332,0.7222222222222222,0.0
17,14,"[6, 6, 6, 2]",0.5296313725490196,0.5297777777777778,0.7058823529411765,0.0
17,15,"[8, 6, 6, 0]",0.5056333333333334,0.5302222222222223,0.625,0.0
18,1,"[8, 6, 4, 1]",0.6262666666666666,0.5437777777777778,1.0,0.0
18,2,"[8, 6, 3, 2]",0.6262666666666665,0.5437777777777777,1.0,0.0
18,3,"[8, 6, 5, 2]",0.6228666666666667,0.5381111111111111,1.0,0.0
18,4,"[8, 6, 4, 1]",0.6114771929824561,0.5454444444444444,0.9473684210526315,0.0
18,5,"[8, 6, 4, 1]",0.6103438596491229,0.5435555555555556,0.9473684210526315,0.0
18,6,"[8, 6, 5, 2]",0.6092666666666666,0.5404444444444445,0.95,0.0
18,7,"[8, 6, 5, 1]",0.5997333333333332,0.5328888888888889,0.9333333333333333,0.0
18,8,"[8, 6, 4, 1]",0.5917333333333333,0.5417777777777778,0.8888888888888888,0.0
18,9,"[8, 8, 5, 2]",0.5879058823529413,0.5386666666666667,0.8823529411764706,0.0
18,10,"[8, 6, 4, 1]",0.5799333333333334,0.5415555555555556,0.85,0.0
18,11,"[8, 4, 4, 2]",0.5790095238095238,0.5364444444444444,0.8571428571428571,0.0
18,12,"[8, 6, 5, 2]",0.56555,0.5363333333333333,0.8125,0.0
18,13,"[8, 4, 4, 1]",0.5621333333333334,0.5368888888888889,0.8,0.0
18,14,"[8, 6, 5, 0]",0.5611809523809523,0.5424444444444445,0.7857142857142857,0.0
18,15,"[9, 8, 7, 2]",0.5462666666666667,0.5354444444444444,0.75,0.0
19,1,"[8, 6, 4, 1]",0.6217333333333332,0.5362222222222222,1.0,0.0
19,2,"[8, 6, 3, 2]",0.610047619047619,0.5405555555555556,0.9523809523809523,0.0
19,3,"[8, 4, 4, 1]",0.6086666666666667,0.5394444444444445,0.95,0.0
19,4,"[8, 6, 5, 2]",0.6082666666666667,0.5415555555555556,0.9444444444444444,0.0
19,5,"[10, 6, 5, 1]",0.60765,0.544,0.9375,0.0
